customer_id,nombre,ciudad,segmento,fecha_registro
C00061,Cliente 61,Montecristi,Mayorista,2023-05-25
C00062,Cliente 62,Manta,Corporativo,2021-05-11
C00063,Cliente 63,Montecristi,Retail,2022-10-05
C00064,Cliente 64,Montecristi,Corporativo,2021-05-26
C00065,Cliente 65,Manta,Mayorista,2021-09-17
C00066,Cliente 66,Manta,Corporativo,2023-10-01
C00067,Cliente 67,Manta,Retail,2021-03-29
C00068,Cliente 68,Cuenca,Mayorista,2022-09-08
C00069,Cliente 69,Quito,Corporativo,2021-10-28
C00070,Cliente 70,Cuenca,Mayorista,2021-08-26
C00071,Cliente 71,Montecristi,Retail,2021-09-04
C00072,Cliente 72,Cuenca,VIP,2021-04-04
C00073,Cliente 73,Manta,Corporativo,2022-06-08
C00074,Cliente 74,Quito,VIP,2022-10-14
C00075,Cliente 75,Guayaquil,Retail,2022-09-05
C00076,Cliente 76,Cuenca,Corporativo,2021-12-10
C00077,Cliente 77,Quito,Corporativo,2023-08-30
C00078,Cliente 78,Manta,VIP,2022-12-09
C00079,Cliente 79,Montecristi,Mayorista,2023-06-28
C00080,Cliente 80,Manta,Corporativo,2023-11-19
C00081,Cliente 81,Portoviejo,Mayorista,2022-08-21
C00082,Cliente 82,Cuenca,Mayorista,2023-08-14
C00083,Cliente 83,Portoviejo,Corporativo,2022-10-16
C00084,Cliente 84,Cuenca,Retail,2023-03-05
C00085,Cliente 85,Portoviejo,Mayorista,2022-06-13
C00086,Cliente 86,Portoviejo,Retail,2022-08-06
C00087,Cliente 87,Portoviejo,Retail,2023-11-10
C00088,Cliente 88,Portoviejo,Corporativo,2021-12-29
C00089,Cliente 89,Portoviejo,Corporativo,2023-11-30
C00090,Cliente 90,Portoviejo,VIP,2023-09-16
C00091,Cliente 91,Manta,Retail,2021-01-19
C00092,Cliente 92,Quito,Corporativo,2021-05-01
C00093,Cliente 93,Cuenca,Retail,2021-02-14
C00094,Cliente 94,Cuenca,Mayorista,2021-06-20
C00095,Cliente 95,Montecristi,Corporativo,2023-10-05
C00096,Cliente 96,Montecristi,Retail,2021-06-07
C00097,Cliente 97,Quito,VIP,2023-08-30
C00098,Cliente 98,Montecristi,Retail,2021-08-11
C00099,Cliente 99,Montecristi,VIP,2021-04-02
C00100,Cliente 100,Manta,Corporativo,2023-08-04
C00101,Cliente 101,Manta,Mayorista,2023-03-04
C00102,Cliente 102,Cuenca,Corporativo,2022-06-17
C00103,Cliente 103,Cuenca,Corporativo,2021-11-12
C00104,Cliente 104,Cuenca,VIP,2021-06-16
C00105,Cliente 105,Montecristi,Retail,2023-06-12
C00106,Cliente 106,Quito,VIP,2022-10-18
C00107,Cliente 107,Quito,Corporativo,2022-09-21
C00108,Cliente 108,Quito,VIP,2021-06-17
C00109,Cliente 109,Guayaquil,VIP,2023-06-21
C00110,Cliente 110,Montecristi,Corporativo,2022-04-01
C00111,Cliente 111,Portoviejo,VIP,2021-11-26
C00112,Cliente 112,Manta,Retail,2023-08-17
C00113,Cliente 113,Quito,Retail,2023-06-25
C00114,Cliente 114,Portoviejo,Retail,2021-11-29
C00115,Cliente 115,Montecristi,Retail,2022-02-25
C00116,Cliente 116,Guayaquil,VIP,2021-09-12
C00117,Cliente 117,Guayaquil,Corporativo,2023-09-18
C00118,Cliente 118,Manta,Mayorista,2022-01-11
C00119,Cliente 119,Montecristi,VIP,2023-02-19
C00120,Cliente 120,Manta,Corporativo,2022-09-29
C00121,Cliente 121,Manta,Corporativo,2021-12-10
C00122,Cliente 122,Quito,Retail,2022-09-25
C00123,Cliente 123,Manta,Mayorista,2022-07-03
C00124,Cliente 124,Montecristi,Corporativo,2022-06-21
C00125,Cliente 125,Guayaquil,Retail,2022-02-05
C00126,Cliente 126,Portoviejo,VIP,2022-12-26
C00127,Cliente 127,Portoviejo,Retail,2023-08-12
C00128,Cliente 128,Montecristi,Mayorista,2023-06-28
C00129,Cliente 129,Quito,VIP,2021-11-22
C00130,Cliente 130,Portoviejo,Corporativo,2022-02-02
C00131,Cliente 131,Montecristi,Corporativo,2022-04-03
C00132,Cliente 132,Manta,Mayorista,2023-07-12
C00133,Cliente 133,Cuenca,Retail,2023-02-13
C00134,Cliente 134,Guayaquil,VIP,2023-07-18
C00135,Cliente 135,Quito,VIP,2021-08-16
C00136,Cliente 136,Guayaquil,Mayorista,2021-09-05
C00137,Cliente 137,Manta,Corporativo,2021-02-16
C00138,Cliente 138,Manta,Corporativo,2021-08-04
C00139,Cliente 139,Cuenca,Corporativo,2021-04-10
C00140,Cliente 140,Portoviejo,VIP,2023-09-30
C00141,Cliente 141,Manta,Mayorista,2023-09-11
C00142,Cliente 142,Portoviejo,Mayorista,2022-04-24
C00143,Cliente 143,Guayaquil,Corporativo,2022-07-27
C00144,Cliente 144,Manta,VIP,2023-05-01
C00145,Cliente 145,Portoviejo,Mayorista,2021-08-03
C00146,Cliente 146,Cuenca,Mayorista,2021-11-14
C00147,Cliente 147,Cuenca,Corporativo,2021-03-13
C00148,Cliente 148,Quito,Retail,2023-08-07
C00149,Cliente 149,Manta,VIP,2021-07-22
C00150,Cliente 150,Guayaquil,VIP,2023-07-26
C00151,Cliente 151,Montecristi,VIP,2021-09-25
C00152,Cliente 152,Manta,VIP,2022-05-19
C00153,Cliente 153,Guayaquil,Mayorista,2023-11-20
C00154,Cliente 154,Montecristi,Corporativo,2021-06-03
C00155,Cliente 155,Quito,Retail,2023-07-05
C00156,Cliente 156,Quito,VIP,2022-08-21
C00157,Cliente 157,Manta,VIP,2021-01-23
C00158,Cliente 158,Montecristi,Corporativo,2022-04-06
C00159,Cliente 159,Guayaquil,Mayorista,2022-10-05
C00160,Cliente 160,Cuenca,Retail,2023-07-29
C00161,Cliente 161,Cuenca,Mayorista,2021-01-10
C00162,Cliente 162,Guayaquil,Mayorista,2022-01-16
C00163,Cliente 163,Manta,Mayorista,2022-09-05
C00164,Cliente 164,Portoviejo,Mayorista,2022-07-26
C00165,Cliente 165,Montecristi,Retail,2023-02-22
C00166,Cliente 166,Montecristi,VIP,2023-01-04
C00167,Cliente 167,Cuenca,VIP,2021-05-26
C00168,Cliente 168,Montecristi,Corporativo,2022-03-11
C00169,Cliente 169,Quito,Retail,2023-02-26
C00170,Cliente 170,Quito,Corporativo,2021-05-16
C00171,Cliente 171,Cuenca,Retail,2022-06-18
C00172,Cliente 172,Cuenca,Retail,2022-01-11
C00173,Cliente 173,Quito,VIP,2022-04-06
C00174,Cliente 174,Manta,Corporativo,2023-10-16
C00175,Cliente 175,Manta,Retail,2022-05-24
C00176,Cliente 176,Quito,VIP,2021-02-27
C00177,Cliente 177,Quito,Mayorista,2023-10-09
C00178,Cliente 178,Cuenca,VIP,2022-03-14
C00179,Cliente 179,Portoviejo,Retail,2021-03-11
C00180,Cliente 180,Manta,Corporativo,2021-06-23
C00181,Cliente 181,Cuenca,Mayorista,2023-07-13
C00182,Cliente 182,Portoviejo,VIP,2023-10-13
C00183,Cliente 183,Cuenca,Mayorista,2021-07-16
C00184,Cliente 184,Guayaquil,Corporativo,2021-12-17
C00185,Cliente 185,Quito,Corporativo,2021-10-30
C00186,Cliente 186,Montecristi,Corporativo,2023-09-16
C00187,Cliente 187,Guayaquil,Retail,2023-08-20
C00188,Cliente 188,Guayaquil,Corporativo,2021-11-01
C00189,Cliente 189,Guayaquil,Retail,2023-02-28
C00190,Cliente 190,Guayaquil,Corporativo,2023-03-18
C00191,Cliente 191,Portoviejo,Retail,2021-10-21
C00192,Cliente 192,Cuenca,VIP,2022-04-07
C00193,Cliente 193,Portoviejo,Retail,2022-02-28
C00194,Cliente 194,Cuenca,Corporativo,2021-08-17
C00195,Cliente 195,Guayaquil,Corporativo,2023-11-25
C00196,Cliente 196,Portoviejo,Corporativo,2022-12-28
C00197,Cliente 197,Portoviejo,Mayorista,2021-04-11
C00198,Cliente 198,Portoviejo,Retail,2023-03-26
C00199,Cliente 199,Manta,Retail,2022-05-06
C00200,Cliente 200,Cuenca,Mayorista,2022-02-11
C00201,Cliente 201,Portoviejo,Mayorista,2021-11-21
C00202,Cliente 202,Montecristi,Mayorista,2022-12-27
C00203,Cliente 203,Manta,VIP,2021-07-19
C00204,Cliente 204,Montecristi,Mayorista,2021-12-16
C00205,Cliente 205,Cuenca,Corporativo,2021-07-06
C00206,Cliente 206,Portoviejo,Mayorista,2021-06-26
C00207,Cliente 207,Quito,Mayorista,2022-04-08
C00208,Cliente 208,Montecristi,VIP,2021-12-09
C00209,Cliente 209,Guayaquil,VIP,2021-05-31
C00210,Cliente 210,Cuenca,VIP,2021-03-08
C00211,Cliente 211,Portoviejo,Mayorista,2023-02-04
C00212,Cliente 212,Manta,VIP,2022-08-07
C00213,Cliente 213,Cuenca,Retail,2021-12-02
C00214,Cliente 214,Manta,Corporativo,2021-02-09
C00215,Cliente 215,Portoviejo,Corporativo,2023-07-14
C00216,Cliente 216,Cuenca,Mayorista,2021-06-25
C00217,Cliente 217,Manta,Mayorista,2021-07-20
C00218,Cliente 218,Guayaquil,Retail,2021-06-22
C00219,Cliente 219,Manta,VIP,2021-09-04
C00220,Cliente 220,Guayaquil,Mayorista,2021-03-09
C00221,Cliente 221,Manta,Corporativo,2021-11-02
C00222,Cliente 222,Manta,Corporativo,2022-09-29
C00223,Cliente 223,Montecristi,Corporativo,2023-06-13
C00224,Cliente 224,Portoviejo,Retail,2023-03-08
C00225,Cliente 225,Quito,Mayorista,2022-05-24
C00226,Cliente 226,Quito,Retail,2021-05-16
C00227,Cliente 227,Manta,Corporativo,2023-07-23
C00228,Cliente 228,Portoviejo,VIP,2022-10-17
C00229,Cliente 229,Guayaquil,Mayorista,2023-05-19
C00230,Cliente 230,Manta,Retail,2022-04-25
C00231,Cliente 231,Quito,VIP,2022-08-31
C00232,Cliente 232,Manta,VIP,2023-08-26
C00233,Cliente 233,Montecristi,Mayorista,2023-11-29
C00234,Cliente 234,Guayaquil,VIP,2023-03-13
C00235,Cliente 235,Cuenca,Corporativo,2023-12-29
C00236,Cliente 236,Cuenca,VIP,2022-08-27
C00237,Cliente 237,Montecristi,Retail,2022-12-14
C00238,Cliente 238,Guayaquil,Retail,2021-01-24
C00239,Cliente 239,Cuenca,Retail,2021-01-19
C00240,Cliente 240,Quito,Retail,2021-10-24
C00241,Cliente 241,Guayaquil,Corporativo,2021-10-31
C00242,Cliente 242,Guayaquil,Retail,2023-11-29
C00243,Cliente 243,Portoviejo,Retail,2022-01-25
C00244,Cliente 244,Portoviejo,Retail,2022-02-20
C00245,Cliente 245,Cuenca,Corporativo,2022-01-10
C00246,Cliente 246,Montecristi,VIP,2023-01-08
C00247,Cliente 247,Montecristi,Mayorista,2021-04-26
C00248,Cliente 248,Manta,VIP,2023-03-31
C00249,Cliente 249,Guayaquil,Mayorista,2023-10-18
C00250,Cliente 250,Portoviejo,Retail,2023-10-04
C00251,Cliente 251,Guayaquil,VIP,2022-03-26
C00252,Cliente 252,Guayaquil,Retail,2021-05-07
C00253,Cliente 253,Guayaquil,Corporativo,2022-12-06
C00254,Cliente 254,Montecristi,Corporativo,2023-09-26
C00255,Cliente 255,Manta,Corporativo,2022-06-21
C00256,Cliente 256,Quito,VIP,2021-07-21
C00257,Cliente 257,Guayaquil,Mayorista,2021-11-01
C00258,Cliente 258,Montecristi,VIP,2021-03-21
C00259,Cliente 259,Cuenca,Corporativo,2021-12-10
C00260,Cliente 260,Montecristi,VIP,2023-07-16
C00261,Cliente 261,Quito,Mayorista,2023-07-24
C00262,Cliente 262,Guayaquil,Retail,2022-05-10
C00263,Cliente 263,Guayaquil,Corporativo,2023-07-22
C00264,Cliente 264,Quito,VIP,2022-04-14
C00265,Cliente 265,Montecristi,VIP,2023-01-25
C00266,Cliente 266,Quito,Retail,2022-01-12
C00267,Cliente 267,Cuenca,VIP,2022-01-09
C00268,Cliente 268,Montecristi,Retail,2022-06-18
C00269,Cliente 269,Montecristi,VIP,2023-08-01
C00270,Cliente 270,Cuenca,Mayorista,2021-12-18
C00271,Cliente 271,Portoviejo,VIP,2023-10-30
C00272,Cliente 272,Portoviejo,Retail,2023-10-22
C00273,Cliente 273,Montecristi,Corporativo,2022-09-05
C00274,Cliente 274,Quito,Retail,2021-12-21
C00275,Cliente 275,Montecristi,VIP,2023-02-21
C00276,Cliente 276,Guayaquil,VIP,2021-12-03
C00277,Cliente 277,Cuenca,Mayorista,2023-07-28
C00278,Cliente 278,Guayaquil,VIP,2021-01-12
C00279,Cliente 279,Montecristi,Corporativo,2022-03-29
C00280,Cliente 280,Manta,Retail,2022-08-08
C00281,Cliente 281,Quito,VIP,2022-12-16
C00282,Cliente 282,Guayaquil,Corporativo,2023-05-05
C00283,Cliente 283,Portoviejo,Corporativo,2021-07-02
C00284,Cliente 284,Portoviejo,Retail,2021-04-01
C00285,Cliente 285,Manta,VIP,2023-03-30
C00286,Cliente 286,Montecristi,VIP,2023-01-13
C00287,Cliente 287,Montecristi,Corporativo,2023-07-06
C00288,Cliente 288,Montecristi,Retail,2022-01-20
C00289,Cliente 289,Guayaquil,Mayorista,2022-05-17
C00290,Cliente 290,Guayaquil,Mayorista,2023-01-10
C00291,Cliente 291,Portoviejo,Mayorista,2023-04-28
C00292,Cliente 292,Quito,Retail,2022-09-04
C00293,Cliente 293,Cuenca,Corporativo,2021-12-23
C00294,Cliente 294,Cuenca,Mayorista,2021-05-19
C00295,Cliente 295,Manta,Corporativo,2023-07-09
C00296,Cliente 296,Montecristi,VIP,2021-10-08
C00297,Cliente 297,Quito,VIP,2021-01-20
C00298,Cliente 298,Portoviejo,Corporativo,2023-08-03
C00299,Cliente 299,Quito,VIP,2023-08-03
C00300,Cliente 300,Guayaquil,Mayorista,2021-02-06
C00301,Cliente 301,Portoviejo,VIP,2022-12-25
C00302,Cliente 302,Manta,Retail,2021-03-08
C00303,Cliente 303,Portoviejo,Corporativo,2021-02-04
C00304,Cliente 304,Portoviejo,Corporativo,2023-01-29
C00305,Cliente 305,Guayaquil,Corporativo,2022-09-27
C00306,Cliente 306,Guayaquil,Mayorista,2023-07-24
C00307,Cliente 307,Portoviejo,Corporativo,2022-06-18
C00308,Cliente 308,Manta,Mayorista,2021-01-04
C00309,Cliente 309,Portoviejo,Corporativo,2023-02-20
C00310,Cliente 310,Manta,Retail,2023-10-09
C00311,Cliente 311,Montecristi,Corporativo,2023-09-30
C00312,Cliente 312,Cuenca,VIP,2022-10-27
C00313,Cliente 313,Quito,Corporativo,2023-10-31
C00314,Cliente 314,Quito,Mayorista,2022-04-23
C00315,Cliente 315,Guayaquil,VIP,2021-09-22
C00316,Cliente 316,Montecristi,Retail,2023-08-05
C00317,Cliente 317,Quito,VIP,2023-02-12
C00318,Cliente 318,Quito,Mayorista,2021-04-15
C00319,Cliente 319,Cuenca,Mayorista,2022-02-04
C00320,Cliente 320,Montecristi,Corporativo,2022-04-01
C00321,Cliente 321,Quito,Mayorista,2022-01-24
C00322,Cliente 322,Cuenca,Retail,2021-12-04
C00323,Cliente 323,Portoviejo,VIP,2022-03-19
C00324,Cliente 324,Guayaquil,VIP,2023-04-26
C00325,Cliente 325,Portoviejo,Retail,2022-08-12
C00326,Cliente 326,Guayaquil,VIP,2023-09-20
C00327,Cliente 327,Portoviejo,Mayorista,2021-08-28
C00328,Cliente 328,Cuenca,Corporativo,2022-03-02
C00329,Cliente 329,Portoviejo,VIP,2022-12-09
C00330,Cliente 330,Quito,VIP,2021-02-11
C00331,Cliente 331,Quito,Retail,2022-04-10
C00332,Cliente 332,Quito,VIP,2023-07-01
C00333,Cliente 333,Portoviejo,Corporativo,2022-08-26
C00334,Cliente 334,Manta,Corporativo,2023-09-24
C00335,Cliente 335,Cuenca,VIP,2021-03-24
C00336,Cliente 336,Cuenca,Retail,2022-05-26
C00337,Cliente 337,Quito,Mayorista,2023-05-26
C00338,Cliente 338,Montecristi,Corporativo,2022-07-09
C00339,Cliente 339,Guayaquil,Retail,2021-09-28
C00340,Cliente 340,Manta,Mayorista,2021-10-03
C00341,Cliente 341,Cuenca,Corporativo,2021-12-20
C00342,Cliente 342,Quito,VIP,2023-08-04
C00343,Cliente 343,Cuenca,Retail,2022-06-08
C00344,Cliente 344,Manta,VIP,2023-04-13
C00345,Cliente 345,Guayaquil,Corporativo,2021-11-28
C00346,Cliente 346,Portoviejo,VIP,2023-03-12
C00347,Cliente 347,Manta,Retail,2021-03-13
C00348,Cliente 348,Portoviejo,Corporativo,2023-10-14
C00349,Cliente 349,Cuenca,VIP,2021-05-06
C00350,Cliente 350,Cuenca,Mayorista,2023-03-02
C00351,Cliente 351,Cuenca,Corporativo,2022-03-01
C00352,Cliente 352,Quito,Corporativo,2023-02-03
C00353,Cliente 353,Cuenca,VIP,2022-02-12
C00354,Cliente 354,Quito,Retail,2022-04-28
C00355,Cliente 355,Guayaquil,Retail,2021-12-08
C00356,Cliente 356,Cuenca,Corporativo,2021-08-31
C00357,Cliente 357,Cuenca,VIP,2023-11-08
C00358,Cliente 358,Montecristi,Mayorista,2022-07-07
C00359,Cliente 359,Cuenca,VIP,2023-09-18
C00360,Cliente 360,Cuenca,VIP,2023-01-17
C00361,Cliente 361,Montecristi,Mayorista,2023-03-05
C00362,Cliente 362,Cuenca,Retail,2023-10-29
C00363,Cliente 363,Manta,VIP,2022-12-07
C00364,Cliente 364,Quito,Mayorista,2022-03-30
C00365,Cliente 365,Montecristi,Mayorista,2021-09-08
C00366,Cliente 366,Cuenca,VIP,2021-09-13
C00367,Cliente 367,Montecristi,Mayorista,2023-08-27
C00368,Cliente 368,Portoviejo,Corporativo,2021-02-03
C00369,Cliente 369,Cuenca,VIP,2021-04-27
C00370,Cliente 370,Portoviejo,VIP,2022-03-30
C00371,Cliente 371,Guayaquil,Corporativo,2021-01-05
C00372,Cliente 372,Cuenca,VIP,2022-07-09
C00373,Cliente 373,Portoviejo,Corporativo,2022-12-04
C00374,Cliente 374,Portoviejo,Corporativo,2022-04-30
C00375,Cliente 375,Montecristi,Mayorista,2022-05-20
C00376,Cliente 376,Guayaquil,VIP,2021-04-05
C00377,Cliente 377,Cuenca,Corporativo,2022-01-17
C00378,Cliente 378,Manta,VIP,2022-05-22
C00379,Cliente 379,Guayaquil,Mayorista,2021-10-15
C00380,Cliente 380,Manta,Corporativo,2022-05-17
C00381,Cliente 381,Guayaquil,VIP,2023-07-24
C00382,Cliente 382,Montecristi,VIP,2022-07-25
C00383,Cliente 383,Portoviejo,Corporativo,2022-10-20
C00384,Cliente 384,Portoviejo,Retail,2022-06-24
C00385,Cliente 385,Portoviejo,Retail,2022-08-29
C00386,Cliente 386,Portoviejo,Mayorista,2021-01-09
C00387,Cliente 387,Manta,VIP,2023-09-16
C00388,Cliente 388,Montecristi,VIP,2022-02-24
C00389,Cliente 389,Montecristi,Mayorista,2023-06-10
C00390,Cliente 390,Cuenca,Mayorista,2023-12-22
C00391,Cliente 391,Montecristi,VIP,2021-09-20
C00392,Cliente 392,Montecristi,Mayorista,2021-04-29
C00393,Cliente 393,Guayaquil,Corporativo,2022-05-23
C00394,Cliente 394,Manta,Mayorista,2023-09-02
C00395,Cliente 395,Montecristi,Retail,2021-01-01
C00396,Cliente 396,Quito,Mayorista,2023-01-08
C00397,Cliente 397,Quito,VIP,2023-10-19
C00398,Cliente 398,Montecristi,Corporativo,2022-12-16
C00399,Cliente 399,Manta,Corporativo,2023-10-17
C00400,Cliente 400,Guayaquil,Corporativo,2023-05-27
C00401,Cliente 401,Montecristi,VIP,2021-06-15
C00402,Cliente 402,Cuenca,VIP,2023-04-02
C00403,Cliente 403,Portoviejo,Retail,2022-06-22
C00404,Cliente 404,Portoviejo,VIP,2022-02-23
C00405,Cliente 405,Montecristi,Mayorista,2022-07-24
C00406,Cliente 406,Montecristi,Corporativo,2023-12-04
C00407,Cliente 407,Cuenca,Mayorista,2022-05-07
C00408,Cliente 408,Cuenca,VIP,2023-01-07
C00409,Cliente 409,Cuenca,Corporativo,2021-08-09
C00410,Cliente 410,Quito,Retail,2023-07-08
C00411,Cliente 411,Portoviejo,VIP,2022-12-19
C00412,Cliente 412,Portoviejo,Retail,2022-03-10
C00413,Cliente 413,Quito,Mayorista,2022-07-16
C00414,Cliente 414,Guayaquil,Corporativo,2021-07-01
C00415,Cliente 415,Cuenca,Retail,2022-04-23
C00416,Cliente 416,Montecristi,Corporativo,2022-07-15
C00417,Cliente 417,Manta,Retail,2022-09-05
C00418,Cliente 418,Guayaquil,Mayorista,2021-05-23
C00419,Cliente 419,Montecristi,Corporativo,2021-09-23
C00420,Cliente 420,Montecristi,Corporativo,2023-05-06
C00421,Cliente 421,Cuenca,Mayorista,2021-12-10
C00422,Cliente 422,Portoviejo,VIP,2022-10-10
C00423,Cliente 423,Quito,Corporativo,2023-02-22
C00424,Cliente 424,Montecristi,VIP,2021-09-02
C00425,Cliente 425,Portoviejo,Retail,2022-10-11
C00426,Cliente 426,Quito,Corporativo,2021-01-20
C00427,Cliente 427,Cuenca,Retail,2023-07-26
C00428,Cliente 428,Cuenca,Mayorista,2023-08-28
C00429,Cliente 429,Portoviejo,Corporativo,2023-03-01
C00430,Cliente 430,Quito,Retail,2021-01-31
C00431,Cliente 431,Montecristi,VIP,2022-11-07
C00432,Cliente 432,Cuenca,VIP,2023-06-29
C00433,Cliente 433,Quito,Mayorista,2023-09-10
C00434,Cliente 434,Quito,VIP,2021-02-14
C00435,Cliente 435,Cuenca,VIP,2023-09-05
C00436,Cliente 436,Montecristi,Retail,2022-04-10
C00437,Cliente 437,Guayaquil,Retail,2021-10-13
C00438,Cliente 438,Cuenca,Retail,2022-10-12
C00439,Cliente 439,Quito,Corporativo,2023-10-01
C00440,Cliente 440,Cuenca,Retail,2023-08-24
C00441,Cliente 441,Quito,Retail,2023-08-13
C00442,Cliente 442,Quito,Mayorista,2022-05-24
C00443,Cliente 443,Montecristi,VIP,2023-03-30
C00444,Cliente 444,Quito,VIP,2021-11-26
C00445,Cliente 445,Quito,Retail,2021-11-19
C00446,Cliente 446,Montecristi,Corporativo,2023-04-04
C00447,Cliente 447,Portoviejo,VIP,2023-05-04
C00448,Cliente 448,Portoviejo,Mayorista,2021-01-13
C00449,Cliente 449,Manta,Corporativo,2023-12-25
C00450,Cliente 450,Montecristi,VIP,2021-05-28
C00451,Cliente 451,Quito,Mayorista,2021-01-07
C00452,Cliente 452,Quito,Corporativo,2022-08-13
C00453,Cliente 453,Guayaquil,Mayorista,2023-02-18
C00454,Cliente 454,Manta,VIP,2023-05-15
C00455,Cliente 455,Portoviejo,Mayorista,2023-11-30
C00456,Cliente 456,Manta,Retail,2023-08-17
C00457,Cliente 457,Cuenca,Retail,2021-07-01
C00458,Cliente 458,Montecristi,Retail,2022-08-18
C00459,Cliente 459,Quito,Mayorista,2021-09-30
C00460,Cliente 460,Manta,Mayorista,2022-10-14
C00461,Cliente 461,Guayaquil,Mayorista,2021-03-06
C00462,Cliente 462,Cuenca,Corporativo,2022-03-19
C00463,Cliente 463,Guayaquil,Mayorista,2022-09-03
C00464,Cliente 464,Portoviejo,VIP,2021-01-29
C00465,Cliente 465,Guayaquil,Retail,2022-04-26
C00466,Cliente 466,Montecristi,VIP,2023-01-08
C00467,Cliente 467,Manta,Corporativo,2021-03-22
C00468,Cliente 468,Cuenca,Corporativo,2021-11-12
C00469,Cliente 469,Quito,Mayorista,2021-09-01
C00470,Cliente 470,Quito,Mayorista,2022-04-27
C00471,Cliente 471,Portoviejo,Mayorista,2021-05-07
C00472,Cliente 472,Montecristi,Mayorista,2022-04-26
C00473,Cliente 473,Manta,VIP,2021-05-28
C00474,Cliente 474,Cuenca,Mayorista,2021-08-31
C00475,Cliente 475,Portoviejo,Corporativo,2021-10-28
C00476,Cliente 476,Guayaquil,Retail,2022-11-11
C00477,Cliente 477,Guayaquil,Retail,2021-06-24
C00478,Cliente 478,Manta,Corporativo,2022-12-07
C00479,Cliente 479,Montecristi,Retail,2021-11-20
C00480,Cliente 480,Portoviejo,Mayorista,2023-08-05
C00481,Cliente 481,Portoviejo,Corporativo,2021-04-25
C00482,Cliente 482,Manta,Mayorista,2022-04-21
C00483,Cliente 483,Montecristi,Retail,2022-12-08
C00484,Cliente 484,Portoviejo,Mayorista,2021-04-26
C00485,Cliente 485,Portoviejo,Corporativo,2021-10-11
